Date,Value,Anomaly,State
201601,43,-1.6,South Carolina
201602,48,1.2,South Carolina
201603,60.6,6.7,South Carolina
201604,63.1,1.2,South Carolina
201605,70.1,-0.2,South Carolina
201606,79.8,2.8,South Carolina
201607,83.7,3.8,South Carolina
201608,81.9,3.2,South Carolina
201609,77.1,3.4,South Carolina
201610,66.4,3.2,South Carolina
201611,55.6,2.5,South Carolina
201612,49,3.4,South Carolina
201701,51.4,6.8,South Carolina
201702,55.5,8.7,South Carolina
201703,55.5,1.6,South Carolina
201704,67,5.1,South Carolina
201705,71.5,1.2,South Carolina
201706,76.9,-0.1,South Carolina
201707,81,1.1,South Carolina
201708,79.4,0.7,South Carolina
201709,74.3,0.6,South Carolina
201710,66.2,3,South Carolina
201711,54.3,1.2,South Carolina
201712,47.8,2.2,South Carolina
201801,40.6,-4,South Carolina
201802,57.4,10.6,South Carolina
201803,52,-1.9,South Carolina
201804,60,-1.9,South Carolina
201805,73.8,3.5,South Carolina
201806,80.2,3.2,South Carolina
201807,80.2,0.3,South Carolina
201808,80,1.3,South Carolina
201809,79.4,5.7,South Carolina
201810,66.9,3.7,South Carolina
201811,51.9,-1.2,South Carolina
201812,48.6,3,South Carolina
201901,46.7,2.1,South Carolina
201902,53,6.2,South Carolina
201903,54.1,0.2,South Carolina
201904,64,2.1,South Carolina
201905,75.4,5.1,South Carolina
201906,77.2,0.2,South Carolina
201907,81.4,1.5,South Carolina
201908,80.3,1.6,South Carolina
201909,78.3,4.6,South Carolina
201910,68.5,5.3,South Carolina
201911,51,-2.1,South Carolina
201912,50.3,4.7,South Carolina
202001,50.3,5.7,South Carolina
202002,50.9,4.1,South Carolina
202003,60.4,6.5,South Carolina
202004,62.1,0.2,South Carolina
202005,68,-2.3,South Carolina
202006,76.1,-0.9,South Carolina
202007,81.9,2,South Carolina
202008,80.1,1.4,South Carolina
202009,73.3,-0.4,South Carolina
202010,67.4,4.2,South Carolina
202011,59.3,6.2,South Carolina
202012,45.6,0,South Carolina
202101,46,1.4,South Carolina
202102,47.3,0.5,South Carolina
202103,57.6,3.7,South Carolina
202104,62.1,0.2,South Carolina
202105,69.1,-1.2,South Carolina
202106,76.8,-0.2,South Carolina
202107,79.4,-0.5,South Carolina
202108,80.1,1.4,South Carolina
202109,73.6,-0.1,South Carolina
202110,66.8,3.6,South Carolina
202111,51.7,-1.4,South Carolina
202112,54.6,9,South Carolina
