Date,Value,Anomaly,State
201601,27.6,-2.9,West Virginia
201602,34.9,2.2,West Virginia
201603,48.5,7.4,West Virginia
201604,53,2.1,West Virginia
201605,59.5,-1,West Virginia
201606,69.5,1.4,West Virginia
201607,73.7,1.8,West Virginia
201608,75.1,4.7,West Virginia
201609,69.4,5,West Virginia
201610,57.3,4,West Virginia
201611,45.6,3.5,West Virginia
201612,35.6,2.5,West Virginia
201701,37.5,7,West Virginia
201702,42.1,9.4,West Virginia
201703,42.3,1.2,West Virginia
201704,57.5,6.6,West Virginia
201705,61,0.5,West Virginia
201706,67.7,-0.4,West Virginia
201707,72.4,0.5,West Virginia
201708,69.3,-1.1,West Virginia
201709,64.6,0.2,West Virginia
201710,57.5,4.2,West Virginia
201711,43.2,1.1,West Virginia
201712,33,-0.1,West Virginia
201801,27,-3.5,West Virginia
201802,41.7,9,West Virginia
201803,38,-3.1,West Virginia
201804,47.7,-3.2,West Virginia
201805,67.9,7.4,West Virginia
201806,70,1.9,West Virginia
201807,72.5,0.6,West Virginia
201808,72.4,2,West Virginia
201809,70.4,6,West Virginia
201810,55.3,2,West Virginia
201811,40,-2.1,West Virginia
201812,36.7,3.6,West Virginia
201901,32,1.5,West Virginia
201902,38.5,5.8,West Virginia
201903,40.1,-1,West Virginia
201904,54.9,4,West Virginia
201905,65.5,5,West Virginia
201906,67.6,-0.5,West Virginia
201907,74.3,2.4,West Virginia
201908,71.5,1.1,West Virginia
201909,70,5.6,West Virginia
201910,57.7,4.4,West Virginia
201911,39.3,-2.8,West Virginia
201912,38.5,5.4,West Virginia
202001,37.3,6.8,West Virginia
202002,38,5.3,West Virginia
202003,47.8,6.7,West Virginia
202004,48.9,-2,West Virginia
202005,57.8,-2.7,West Virginia
202006,68.1,0,West Virginia
202007,75.6,3.7,West Virginia
202008,72.5,2.1,West Virginia
202009,64.2,-0.2,West Virginia
202010,55.4,2.1,West Virginia
202011,47.5,5.4,West Virginia
202012,34.3,1.2,West Virginia
202101,32.6,2.1,West Virginia
202102,31.5,-1.2,West Virginia
202103,45.7,4.6,West Virginia
202104,51.2,0.3,West Virginia
202105,58.6,-1.9,West Virginia
202106,69.2,1.1,West Virginia
202107,72.1,0.2,West Virginia
202108,73.9,3.5,West Virginia
202109,65.5,1.1,West Virginia
202110,59.4,6.1,West Virginia
202111,41,-1.1,West Virginia
202112,42.5,9.4,West Virginia
