Date,Value,Anomaly,State
201601,25.4,0.1,Pennsylvania
201602,30.7,4.2,Pennsylvania
201603,43.3,7.5,Pennsylvania
201604,47,0.2,Pennsylvania
201605,57.4,-0.2,Pennsylvania
201606,67.4,1.4,Pennsylvania
201607,73,2.6,Pennsylvania
201608,73.4,5,Pennsylvania
201609,66.2,4.5,Pennsylvania
201610,53.6,3,Pennsylvania
201611,42.6,3.3,Pennsylvania
201612,31.2,2.3,Pennsylvania
201701,31.8,6.5,Pennsylvania
201702,36.6,10.1,Pennsylvania
201703,35.3,-0.5,Pennsylvania
201704,53.7,6.9,Pennsylvania
201705,57.1,-0.5,Pennsylvania
201706,66.8,0.8,Pennsylvania
201707,71.4,1,Pennsylvania
201708,67.4,-1,Pennsylvania
201709,63.8,2.1,Pennsylvania
201710,56.2,5.6,Pennsylvania
201711,39.2,-0.1,Pennsylvania
201712,28,-0.9,Pennsylvania
201801,23.1,-2.2,Pennsylvania
201802,34.3,7.8,Pennsylvania
201803,33,-2.8,Pennsylvania
201804,43.2,-3.6,Pennsylvania
201805,64,6.4,Pennsylvania
201806,66.6,0.6,Pennsylvania
201807,71.6,1.2,Pennsylvania
201808,72.1,3.7,Pennsylvania
201809,66.7,5,Pennsylvania
201810,52.3,1.7,Pennsylvania
201811,36.7,-2.6,Pennsylvania
201812,33.5,4.6,Pennsylvania
201901,25.8,0.5,Pennsylvania
201902,30.2,3.7,Pennsylvania
201903,34.7,-1.1,Pennsylvania
201904,50.5,3.7,Pennsylvania
201905,60.7,3.1,Pennsylvania
201906,65.8,-0.2,Pennsylvania
201907,73.2,2.8,Pennsylvania
201908,69.6,1.2,Pennsylvania
201909,65.1,3.4,Pennsylvania
201910,53.7,3.1,Pennsylvania
201911,36.5,-2.8,Pennsylvania
201912,32.6,3.7,Pennsylvania
202001,32.2,6.9,Pennsylvania
202002,33.3,6.8,Pennsylvania
202003,42.5,6.7,Pennsylvania
202004,45.1,-1.7,Pennsylvania
202005,56,-1.6,Pennsylvania
202006,67.2,1.2,Pennsylvania
202007,74.9,4.5,Pennsylvania
202008,71.6,3.2,Pennsylvania
202009,62.1,0.4,Pennsylvania
202010,52.2,1.6,Pennsylvania
202011,44.8,5.5,Pennsylvania
202012,32.1,3.2,Pennsylvania
202101,29.4,4.1,Pennsylvania
202102,26.6,0.1,Pennsylvania
202103,40.9,5.1,Pennsylvania
202104,49.4,2.6,Pennsylvania
202105,57,-0.6,Pennsylvania
202106,68.7,2.7,Pennsylvania
202107,71.2,0.8,Pennsylvania
202108,72.6,4.2,Pennsylvania
202109,64.4,2.7,Pennsylvania
202110,57.8,7.2,Pennsylvania
202111,39.1,-0.2,Pennsylvania
202112,37.7,8.8,Pennsylvania
