Date,Value,Anomaly,State
201601,43.7,-1.4,Mississippi
201602,50.9,2.6,Mississippi
201603,60.2,4.6,Mississippi
201604,65.2,1.6,Mississippi
201605,70.5,-0.8,Mississippi
201606,80.2,1.9,Mississippi
201607,82.4,1.6,Mississippi
201608,82,1.8,Mississippi
201609,79,3.9,Mississippi
201610,69.2,4.8,Mississippi
201611,58.2,4.3,Mississippi
201612,49.4,2.6,Mississippi
201701,52.9,7.8,Mississippi
201702,57.1,8.8,Mississippi
201703,60.1,4.5,Mississippi
201704,67.3,3.7,Mississippi
201705,70.1,-1.2,Mississippi
201706,76.7,-1.6,Mississippi
201707,81.2,0.4,Mississippi
201708,79.3,-0.9,Mississippi
201709,74.5,-0.6,Mississippi
201710,66.2,1.8,Mississippi
201711,56.8,2.9,Mississippi
201712,47.1,0.3,Mississippi
201801,40.1,-5,Mississippi
201802,56.9,8.6,Mississippi
201803,57.1,1.5,Mississippi
201804,58.9,-4.7,Mississippi
201805,75.8,4.5,Mississippi
201806,80.6,2.3,Mississippi
201807,81.8,1,Mississippi
201808,80.3,0.1,Mississippi
201809,78.9,3.8,Mississippi
201810,67.4,3,Mississippi
201811,50.5,-3.4,Mississippi
201812,49,2.2,Mississippi
201901,46.3,1.2,Mississippi
201902,55,6.7,Mississippi
201903,54.7,-0.9,Mississippi
201904,63.1,-0.5,Mississippi
201905,74.3,3,Mississippi
201906,78.3,0,Mississippi
201907,80.8,0,Mississippi
201908,81.4,1.2,Mississippi
201909,81.2,6.1,Mississippi
201910,66.6,2.2,Mississippi
201911,50.3,-3.6,Mississippi
201912,50.7,3.9,Mississippi
202001,50.1,5,Mississippi
202002,51.1,2.8,Mississippi
202003,64.1,8.5,Mississippi
202004,62.9,-0.7,Mississippi
202005,70.3,-1,Mississippi
202006,78.1,-0.2,Mississippi
202007,82.1,1.3,Mississippi
202008,80.2,0,Mississippi
202009,75.3,0.2,Mississippi
202010,65.8,1.4,Mississippi
202011,58.4,4.5,Mississippi
202012,47,0.2,Mississippi
202101,46.8,1.7,Mississippi
202102,44.3,-4,Mississippi
202103,60,4.4,Mississippi
202104,62.2,-1.4,Mississippi
202105,70.2,-1.1,Mississippi
202106,78.3,0,Mississippi
202107,80.8,0,Mississippi
202108,81,0.8,Mississippi
202109,75,-0.1,Mississippi
202110,68.5,4.1,Mississippi
202111,52.9,-1,Mississippi
202112,58.8,12,Mississippi
