Date,Value,Anomaly,State
201601,31.1,1.2,Nevada
201602,38,3.9,Nevada
201603,44.2,4.7,Nevada
201604,50.1,3.5,Nevada
201605,55.1,0.1,Nevada
201606,69.7,5.8,Nevada
201607,73.7,1.6,Nevada
201608,72.1,2,Nevada
201609,62.3,0.6,Nevada
201610,53.2,2.5,Nevada
201611,43.2,4.3,Nevada
201612,30.5,-0.7,Nevada
201701,29.1,-0.8,Nevada
201702,38.1,4,Nevada
201703,45.7,6.2,Nevada
201704,47.1,0.5,Nevada
201705,57.1,2.1,Nevada
201706,68.6,4.7,Nevada
201707,76.2,4.1,Nevada
201708,73.5,3.4,Nevada
201709,61.6,-0.1,Nevada
201710,50.4,-0.3,Nevada
201711,44.4,5.5,Nevada
201712,34.8,3.6,Nevada
201801,38.5,8.6,Nevada
201802,33.7,-0.4,Nevada
201803,39.5,0,Nevada
201804,50,3.4,Nevada
201805,57.7,2.7,Nevada
201806,67.8,3.9,Nevada
201807,77,4.9,Nevada
201808,73.2,3.1,Nevada
201809,65,3.3,Nevada
201810,50.3,-0.4,Nevada
201811,39.4,0.5,Nevada
201812,32,0.8,Nevada
201901,34.1,4.2,Nevada
201902,30,-4.1,Nevada
201903,40.1,0.6,Nevada
201904,50.1,3.5,Nevada
201905,51.7,-3.3,Nevada
201906,64.3,0.4,Nevada
201907,72.8,0.7,Nevada
201908,73.1,3,Nevada
201909,61.7,0,Nevada
201910,45.6,-5.1,Nevada
201911,41.8,2.9,Nevada
201912,33.2,2,Nevada
202001,35.3,5.4,Nevada
202002,36.3,2.2,Nevada
202003,40.5,1,Nevada
202004,48.8,2.2,Nevada
202005,58.8,3.8,Nevada
202006,65,1.1,Nevada
202007,74.2,2.1,Nevada
202008,75.6,5.5,Nevada
202009,66.6,4.9,Nevada
202010,55.3,4.6,Nevada
202011,40.5,1.6,Nevada
202012,32.4,1.2,Nevada
202101,33.7,3.8,Nevada
202102,35.7,1.6,Nevada
202103,39.2,-0.3,Nevada
202104,49.4,2.8,Nevada
202105,57.2,2.2,Nevada
202106,72.6,8.7,Nevada
202107,77.7,5.6,Nevada
202108,72.4,2.3,Nevada
202109,65.6,3.9,Nevada
202110,49.5,-1.2,Nevada
202111,45.1,6.2,Nevada
202112,32.4,1.2,Nevada
