Date,Value,Anomaly,State
201601,22.7,4.3,Wyoming
201602,30.1,7.8,Wyoming
201603,34.5,5.4,Wyoming
201604,41.8,3,Wyoming
201605,47.9,-0.5,Wyoming
201606,63.8,6.2,Wyoming
201607,66.8,1.5,Wyoming
201608,63.5,0.1,Wyoming
201609,55.4,1.8,Wyoming
201610,46.5,4,Wyoming
201611,37.1,8.1,Wyoming
201612,16.8,-3.8,Wyoming
201701,16.7,-1.7,Wyoming
201702,27.8,5.5,Wyoming
201703,38.4,9.3,Wyoming
201704,40.1,1.3,Wyoming
201705,49.2,0.8,Wyoming
201706,60,2.4,Wyoming
201707,68.9,3.6,Wyoming
201708,63.5,0.1,Wyoming
201709,54.2,0.6,Wyoming
201710,41.1,-1.4,Wyoming
201711,34.7,5.7,Wyoming
201712,23.8,3.2,Wyoming
201801,25.1,6.7,Wyoming
201802,19.3,-3,Wyoming
201803,32.3,3.2,Wyoming
201804,39.7,0.9,Wyoming
201805,52.9,4.5,Wyoming
201806,60.4,2.8,Wyoming
201807,67.3,2,Wyoming
201808,63.6,0.2,Wyoming
201809,57.2,3.6,Wyoming
201810,41,-1.5,Wyoming
201811,28.6,-0.4,Wyoming
201812,21.5,0.9,Wyoming
201901,22,3.6,Wyoming
201902,16.8,-5.5,Wyoming
201903,27,-2.1,Wyoming
201904,41.1,2.3,Wyoming
201905,44.4,-4,Wyoming
201906,57,-0.6,Wyoming
201907,66,0.7,Wyoming
201908,64.9,1.5,Wyoming
201909,56.7,3.1,Wyoming
201910,34.2,-8.3,Wyoming
201911,30.2,1.2,Wyoming
201912,23,2.4,Wyoming
202001,23.8,5.4,Wyoming
202002,20.2,-2.1,Wyoming
202003,33.1,4,Wyoming
202004,37.6,-1.2,Wyoming
202005,50.3,1.9,Wyoming
202006,59.7,2.1,Wyoming
202007,66.6,1.3,Wyoming
202008,67.7,4.3,Wyoming
202009,55.5,1.9,Wyoming
202010,41.2,-1.3,Wyoming
202011,33.1,4.1,Wyoming
202012,24.5,3.9,Wyoming
202101,23.3,4.9,Wyoming
202102,17.4,-4.9,Wyoming
202103,32.1,3,Wyoming
202104,38,-0.8,Wyoming
202105,48.8,0.4,Wyoming
202106,64.8,7.2,Wyoming
202107,70.1,4.8,Wyoming
202108,64.2,0.8,Wyoming
202109,58.1,4.5,Wyoming
202110,43.9,1.4,Wyoming
202111,36.6,7.6,Wyoming
202112,26.1,5.5,Wyoming
