Date,Value,Anomaly,State
201601,23.4,6.7,Montana
201602,33.6,12.3,Montana
201603,37.4,8,Montana
201604,45,4.3,Montana
201605,51,0.8,Montana
201606,62.4,4.1,Montana
201607,65.9,0.2,Montana
201608,64.4,0.3,Montana
201609,54.8,1,Montana
201610,44.3,1.1,Montana
201611,39.1,9.6,Montana
201612,14.2,-6.4,Montana
201701,15.2,-1.5,Montana
201702,25.4,4.1,Montana
201703,35.8,6.4,Montana
201704,42.1,1.4,Montana
201705,52.3,2.1,Montana
201706,60.6,2.3,Montana
201707,71.6,5.9,Montana
201708,65.5,1.4,Montana
201709,55.2,1.4,Montana
201710,42.6,-0.6,Montana
201711,30.7,1.2,Montana
201712,21.1,0.5,Montana
201801,21.7,5,Montana
201802,11.4,-9.9,Montana
201803,28.3,-1.1,Montana
201804,37.9,-2.8,Montana
201805,55.7,5.5,Montana
201806,59.2,0.9,Montana
201807,66.8,1.1,Montana
201808,64.5,0.4,Montana
201809,53,-0.8,Montana
201810,41.6,-1.6,Montana
201811,30.2,0.7,Montana
201812,25,4.4,Montana
201901,24.7,8,Montana
201902,5.1,-16.2,Montana
201903,25.2,-4.2,Montana
201904,41.9,1.2,Montana
201905,47.7,-2.5,Montana
201906,58.6,0.3,Montana
201907,65,-0.7,Montana
201908,64.8,0.7,Montana
201909,55,1.2,Montana
201910,35.4,-7.8,Montana
201911,29.3,-0.2,Montana
201912,25.8,5.2,Montana
202001,23.4,6.7,Montana
202002,25.6,4.3,Montana
202003,31.6,2.2,Montana
202004,38.3,-2.4,Montana
202005,50.6,0.4,Montana
202006,59.3,1,Montana
202007,65.6,-0.1,Montana
202008,67.4,3.3,Montana
202009,57,3.2,Montana
202010,39.3,-3.9,Montana
202011,32.8,3.3,Montana
202012,28.5,7.9,Montana
202101,26.7,10,Montana
202102,13.8,-7.5,Montana
202103,36.2,6.8,Montana
202104,40.4,-0.3,Montana
202105,48.6,-1.6,Montana
202106,65.3,7,Montana
202107,72.5,6.8,Montana
202108,64.7,0.6,Montana
202109,58.3,4.5,Montana
202110,45.6,2.4,Montana
202111,36.3,6.8,Montana
202112,19.3,-1.3,Montana
