Date,Value,Anomaly,State
201601,28.5,4.4,Massachusetts
201602,30.9,5.9,Massachusetts
201603,41,6.8,Massachusetts
201604,45,0.3,Massachusetts
201605,57.2,1.5,Massachusetts
201606,66.1,1.7,Massachusetts
201607,72.6,2.9,Massachusetts
201608,72.5,5,Massachusetts
201609,64.6,4.2,Massachusetts
201610,52.2,2.2,Massachusetts
201611,42.2,3,Massachusetts
201612,31,2.9,Massachusetts
201701,31.5,7.4,Massachusetts
201702,33,8,Massachusetts
201703,31.5,-2.7,Massachusetts
201704,50.2,5.5,Massachusetts
201705,55.2,-0.5,Massachusetts
201706,66,1.6,Massachusetts
201707,70,0.3,Massachusetts
201708,68,0.5,Massachusetts
201709,65.1,4.7,Massachusetts
201710,57.5,7.5,Massachusetts
201711,40.3,1.1,Massachusetts
201712,26.6,-1.5,Massachusetts
201801,24.5,0.4,Massachusetts
201802,34.3,9.3,Massachusetts
201803,34.8,0.6,Massachusetts
201804,42.3,-2.4,Massachusetts
201805,60.8,5.1,Massachusetts
201806,64.8,0.4,Massachusetts
201807,73.3,3.6,Massachusetts
201808,73.5,6,Massachusetts
201809,65.2,4.8,Massachusetts
201810,50.3,0.3,Massachusetts
201811,37.8,-1.4,Massachusetts
201812,32.1,4,Massachusetts
201901,25.9,1.8,Massachusetts
201902,28.5,3.5,Massachusetts
201903,33.7,-0.5,Massachusetts
201904,47.7,3,Massachusetts
201905,55.3,-0.4,Massachusetts
201906,65.5,1.1,Massachusetts
201907,73.8,4.1,Massachusetts
201908,69.8,2.3,Massachusetts
201909,62,1.6,Massachusetts
201910,52.4,2.4,Massachusetts
201911,37.4,-1.8,Massachusetts
201912,30.5,2.4,Massachusetts
202001,32,7.9,Massachusetts
202002,32.4,7.4,Massachusetts
202003,40.2,6,Massachusetts
202004,43.1,-1.6,Massachusetts
202005,56.2,0.5,Massachusetts
202006,67.6,3.2,Massachusetts
202007,74.6,4.9,Massachusetts
202008,71.7,4.2,Massachusetts
202009,62.8,2.4,Massachusetts
202010,52.4,2.4,Massachusetts
202011,44.7,5.5,Massachusetts
202012,33.1,5,Massachusetts
202101,28.7,4.6,Massachusetts
202102,27.6,2.6,Massachusetts
202103,38.2,4,Massachusetts
202104,47.8,3.1,Massachusetts
202105,57.6,1.9,Massachusetts
202106,69.3,4.9,Massachusetts
202107,69.8,0.1,Massachusetts
202108,72.6,5.1,Massachusetts
202109,64.8,4.4,Massachusetts
202110,56.1,6.1,Massachusetts
202111,40.7,1.5,Massachusetts
202112,35.8,7.7,Massachusetts
