Date,Value,Anomaly,State
201601,34.3,0.7,New Mexico
201602,42,4.2,New Mexico
201603,48.3,4.8,New Mexico
201604,52.3,0.9,New Mexico
201605,59.4,-0.8,New Mexico
201606,73,3.8,New Mexico
201607,76.9,4.2,New Mexico
201608,70.1,-0.8,New Mexico
201609,65.9,1.4,New Mexico
201610,59.6,5.5,New Mexico
201611,46.7,4.6,New Mexico
201612,37.8,3.5,New Mexico
201701,37.2,3.6,New Mexico
201702,44.5,6.7,New Mexico
201703,51.2,7.7,New Mexico
201704,53.7,2.3,New Mexico
201705,60.1,-0.1,New Mexico
201706,72.8,3.6,New Mexico
201707,74.6,1.9,New Mexico
201708,70.8,-0.1,New Mexico
201709,66.4,1.9,New Mexico
201710,56.4,2.3,New Mexico
201711,50.2,8.1,New Mexico
201712,38.7,4.4,New Mexico
201801,37,3.4,New Mexico
201802,41.3,3.5,New Mexico
201803,47.2,3.7,New Mexico
201804,55.1,3.7,New Mexico
201805,65.5,5.3,New Mexico
201806,74.3,5.1,New Mexico
201807,75.1,2.4,New Mexico
201808,73,2.1,New Mexico
201809,66.9,2.4,New Mexico
201810,53.9,-0.2,New Mexico
201811,41.2,-0.9,New Mexico
201812,35.6,1.3,New Mexico
201901,35.6,2,New Mexico
201902,38.1,0.3,New Mexico
201903,45.6,2.1,New Mexico
201904,53.9,2.5,New Mexico
201905,58.1,-2.1,New Mexico
201906,69.4,0.2,New Mexico
201907,75.5,2.8,New Mexico
201908,75.3,4.4,New Mexico
201909,69,4.5,New Mexico
201910,52.2,-1.9,New Mexico
201911,43.5,1.4,New Mexico
201912,37.2,2.9,New Mexico
202001,37.1,3.5,New Mexico
202002,38.5,0.7,New Mexico
202003,48,4.5,New Mexico
202004,54,2.6,New Mexico
202005,65.1,4.9,New Mexico
202006,72.5,3.3,New Mexico
202007,76.6,3.9,New Mexico
202008,76.2,5.3,New Mexico
202009,65,0.5,New Mexico
202010,56.6,2.5,New Mexico
202011,47.5,5.4,New Mexico
202012,35,0.7,New Mexico
202101,35,1.4,New Mexico
202102,37.2,-0.6,New Mexico
202103,44.8,1.3,New Mexico
202104,53.1,1.7,New Mexico
202105,62.6,2.4,New Mexico
202106,73.1,3.9,New Mexico
202107,73.3,0.6,New Mexico
202108,72.1,1.2,New Mexico
202109,68.2,3.7,New Mexico
202110,55.5,1.4,New Mexico
202111,47.6,5.5,New Mexico
202112,41.9,7.6,New Mexico
