Date,Value,Anomaly,State
201601,38.4,-1.6,North Carolina
201602,43.2,1.3,North Carolina
201603,56.2,6.9,North Carolina
201604,58.7,0.9,North Carolina
201605,65.8,-0.6,North Carolina
201606,75.3,1.7,North Carolina
201607,80.1,3.2,North Carolina
201608,79.2,3.6,North Carolina
201609,74.3,4,North Carolina
201610,63.2,3.6,North Carolina
201611,51.7,2.4,North Carolina
201612,44,2.5,North Carolina
201701,45.4,5.4,North Carolina
201702,50.7,8.8,North Carolina
201703,50,0.7,North Carolina
201704,63.9,6.1,North Carolina
201705,67.7,1.3,North Carolina
201706,73.8,0.2,North Carolina
201707,78.7,1.8,North Carolina
201708,75.8,0.2,North Carolina
201709,70.5,0.2,North Carolina
201710,62.8,3.2,North Carolina
201711,50.3,1,North Carolina
201712,42.4,0.9,North Carolina
201801,35.9,-4.1,North Carolina
201802,51.9,10,North Carolina
201803,46.3,-3,North Carolina
201804,56.1,-1.7,North Carolina
201805,71.6,5.2,North Carolina
201806,76.8,3.2,North Carolina
201807,77.2,0.3,North Carolina
201808,77.3,1.7,North Carolina
201809,76.2,5.9,North Carolina
201810,62.5,2.9,North Carolina
201811,48.4,-0.9,North Carolina
201812,45,3.5,North Carolina
201901,42,2,North Carolina
201902,48.1,6.2,North Carolina
201903,48.8,-0.5,North Carolina
201904,61.1,3.3,North Carolina
201905,72.2,5.8,North Carolina
201906,74.2,0.6,North Carolina
201907,79,2.1,North Carolina
201908,77,1.4,North Carolina
201909,74.9,4.6,North Carolina
201910,64.6,5,North Carolina
201911,47.4,-1.9,North Carolina
201912,46.6,5.1,North Carolina
202001,46,6,North Carolina
202002,47,5.1,North Carolina
202003,55.9,6.6,North Carolina
202004,57.4,-0.4,North Carolina
202005,63.6,-2.8,North Carolina
202006,73.2,-0.4,North Carolina
202007,79.6,2.7,North Carolina
202008,77.5,1.9,North Carolina
202009,69.7,-0.6,North Carolina
202010,63,3.4,North Carolina
202011,54.8,5.5,North Carolina
202012,42.2,0.7,North Carolina
202101,40.8,0.8,North Carolina
202102,42.1,0.2,North Carolina
202103,53.1,3.8,North Carolina
202104,58.5,0.7,North Carolina
202105,65.5,-0.9,North Carolina
202106,73.8,0.2,North Carolina
202107,77,0.1,North Carolina
202108,77.8,2.2,North Carolina
202109,70.6,0.3,North Carolina
202110,64.4,4.8,North Carolina
202111,48,-1.3,North Carolina
202112,50.7,9.2,North Carolina
