Date,Value,Anomaly,State
201601,14.6,8.2,North Dakota
201602,25.6,13.7,North Dakota
201603,36.3,11.5,North Dakota
201604,41.8,0.6,North Dakota
201605,56.6,2.9,North Dakota
201606,66,3.1,North Dakota
201607,69.3,0.3,North Dakota
201608,68,1.1,North Dakota
201609,58.6,2.3,North Dakota
201610,46.1,2.1,North Dakota
201611,39.3,12.9,North Dakota
201612,10.2,-2.5,North Dakota
201701,11.2,4.8,North Dakota
201702,20.5,8.6,North Dakota
201703,27.4,2.6,North Dakota
201704,42.7,1.5,North Dakota
201705,54.8,1.1,North Dakota
201706,64.8,1.9,North Dakota
201707,72.2,3.2,North Dakota
201708,65.2,-1.7,North Dakota
201709,58.3,2,North Dakota
201710,45,1,North Dakota
201711,26.4,0,North Dakota
201712,15.6,2.9,North Dakota
201801,11.8,5.4,North Dakota
201802,5.4,-6.5,North Dakota
201803,24.7,-0.1,North Dakota
201804,33.3,-7.9,North Dakota
201805,60.2,6.5,North Dakota
201806,67.4,4.5,North Dakota
201807,69.3,0.3,North Dakota
201808,67.6,0.7,North Dakota
201809,55,-1.3,North Dakota
201810,39.1,-4.9,North Dakota
201811,22.9,-3.5,North Dakota
201812,20.8,8.1,North Dakota
201901,9.8,3.4,North Dakota
201902,-2.7,-14.6,North Dakota
201903,20.6,-4.2,North Dakota
201904,41.8,0.6,North Dakota
201905,49.6,-4.1,North Dakota
201906,64,1.1,North Dakota
201907,69.3,0.3,North Dakota
201908,65.5,-1.4,North Dakota
201909,58.3,2,North Dakota
201910,37.6,-6.4,North Dakota
201911,26.1,-0.3,North Dakota
201912,16.1,3.4,North Dakota
202001,12.9,6.5,North Dakota
202002,17.8,5.9,North Dakota
202003,29.8,5,North Dakota
202004,37.6,-3.6,North Dakota
202005,52.5,-1.2,North Dakota
202006,66.9,4,North Dakota
202007,70.3,1.3,North Dakota
202008,69.2,2.3,North Dakota
202009,57.1,0.8,North Dakota
202010,37.8,-6.2,North Dakota
202011,31.8,5.4,North Dakota
202012,23.4,10.7,North Dakota
202101,21.1,14.7,North Dakota
202102,5.9,-6,North Dakota
202103,35.8,11,North Dakota
202104,40.7,-0.5,North Dakota
202105,52.8,-0.9,North Dakota
202106,69.3,6.4,North Dakota
202107,73.8,4.8,North Dakota
202108,68.9,2,North Dakota
202109,62.3,6,North Dakota
202110,48.6,4.6,North Dakota
202111,32.6,6.2,North Dakota
202112,14.1,1.4,North Dakota
