Date,Value,Anomaly,State
201601,25.8,3.8,Idaho
201602,31.9,5.5,Idaho
201603,37,4.4,Idaho
201604,47,6,Idaho
201605,50.6,1.3,Idaho
201606,61.2,4.5,Idaho
201607,64.8,-0.3,Idaho
201608,64.7,1.1,Idaho
201609,54.6,-0.1,Idaho
201610,45.7,1.6,Idaho
201611,38.7,7.1,Idaho
201612,19.1,-4.8,Idaho
201701,18.5,-3.5,Idaho
201702,29.5,3.1,Idaho
201703,38.5,5.9,Idaho
201704,40.3,-0.7,Idaho
201705,50.6,1.3,Idaho
201706,59.1,2.4,Idaho
201707,70,4.9,Idaho
201708,66.9,3.3,Idaho
201709,55.7,1,Idaho
201710,41.9,-2.2,Idaho
201711,34.9,3.3,Idaho
201712,25.2,1.3,Idaho
201801,30.4,8.4,Idaho
201802,26.2,-0.2,Idaho
201803,33.7,1.1,Idaho
201804,42.4,1.4,Idaho
201805,54,4.7,Idaho
201806,57.7,1,Idaho
201807,68.4,3.3,Idaho
201808,65,1.4,Idaho
201809,56.2,1.5,Idaho
201810,44,-0.1,Idaho
201811,32,0.4,Idaho
201812,24.3,0.4,Idaho
201901,26.3,4.3,Idaho
201902,23.2,-3.2,Idaho
201903,32.4,-0.2,Idaho
201904,42.9,1.9,Idaho
201905,49.8,0.5,Idaho
201906,57.2,0.5,Idaho
201907,65.5,0.4,Idaho
201908,66,2.4,Idaho
201909,55,0.3,Idaho
201910,36.6,-7.5,Idaho
201911,34.3,2.7,Idaho
201912,26.6,2.7,Idaho
202001,27.3,5.3,Idaho
202002,26.2,-0.2,Idaho
202003,35.1,2.5,Idaho
202004,41.6,0.6,Idaho
202005,50.6,1.3,Idaho
202006,56.2,-0.5,Idaho
202007,64.9,-0.2,Idaho
202008,67.1,3.5,Idaho
202009,58.7,4,Idaho
202010,45.4,1.3,Idaho
202011,32.7,1.1,Idaho
202012,26.2,2.3,Idaho
202101,26.6,4.6,Idaho
202102,25.3,-1.1,Idaho
202103,34.9,2.3,Idaho
202104,42,1,Idaho
202105,49.8,0.5,Idaho
202106,65.1,8.4,Idaho
202107,71.9,6.8,Idaho
202108,64,0.4,Idaho
202109,57.2,2.5,Idaho
202110,45.2,1.1,Idaho
202111,36.7,5.1,Idaho
202112,26.5,2.6,Idaho
