Date,Value,Anomaly,State
201601,31.4,1.8,New Jersey
201602,36,5.4,New Jersey
201603,47,7.7,New Jersey
201604,50.7,1.4,New Jersey
201605,60.2,0.4,New Jersey
201606,70.6,2.1,New Jersey
201607,77.2,3.7,New Jersey
201608,76.9,5.3,New Jersey
201609,69.7,4.7,New Jersey
201610,56.7,2.7,New Jersey
201611,46.7,3.6,New Jersey
201612,36.3,3.3,New Jersey
201701,36.2,6.6,New Jersey
201702,40.4,9.8,New Jersey
201703,38.9,-0.4,New Jersey
201704,55.9,6.6,New Jersey
201705,60,0.2,New Jersey
201706,70.4,1.9,New Jersey
201707,75.5,2,New Jersey
201708,71.6,0,New Jersey
201709,68.2,3.2,New Jersey
201710,60.4,6.4,New Jersey
201711,44.4,1.3,New Jersey
201712,33.2,0.2,New Jersey
201801,29.2,-0.4,New Jersey
201802,39.4,8.8,New Jersey
201803,38.3,-1,New Jersey
201804,48,-1.3,New Jersey
201805,65.2,5.4,New Jersey
201806,70.1,1.6,New Jersey
201807,76.2,2.7,New Jersey
201808,76.8,5.2,New Jersey
201809,70.2,5.2,New Jersey
201810,56.4,2.4,New Jersey
201811,42.5,-0.6,New Jersey
201812,37.8,4.8,New Jersey
201901,31.6,2,New Jersey
201902,34.7,4.1,New Jersey
201903,39.4,0.1,New Jersey
201904,54.8,5.5,New Jersey
201905,62.8,3,New Jersey
201906,70.6,2.1,New Jersey
201907,78,4.5,New Jersey
201908,74.5,2.9,New Jersey
201909,69,4,New Jersey
201910,58.2,4.2,New Jersey
201911,41.3,-1.8,New Jersey
201912,36.4,3.4,New Jersey
202001,37.3,7.7,New Jersey
202002,39.1,8.5,New Jersey
202003,46.3,7,New Jersey
202004,48.7,-0.6,New Jersey
202005,59.1,-0.7,New Jersey
202006,71.5,3,New Jersey
202007,78.8,5.3,New Jersey
202008,75.5,3.9,New Jersey
202009,66.8,1.8,New Jersey
202010,57,3,New Jersey
202011,49.2,6.1,New Jersey
202012,37,4,New Jersey
202101,33.7,4.1,New Jersey
202102,32.1,1.5,New Jersey
202103,44.1,4.8,New Jersey
202104,52.6,3.3,New Jersey
202105,60.8,1,New Jersey
202106,71.7,3.2,New Jersey
202107,75.7,2.2,New Jersey
202108,75.8,4.2,New Jersey
202109,68.7,3.7,New Jersey
202110,61.1,7.1,New Jersey
202111,43.7,0.6,New Jersey
202112,41.3,8.3,New Jersey
