Date,Value,Anomaly,State
201601,31.3,4.1,Rhode Island
201602,33.1,5.3,Rhode Island
201603,42.9,6.8,Rhode Island
201604,46.2,0.5,Rhode Island
201605,57.9,1.8,Rhode Island
201606,66.9,2.2,Rhode Island
201607,73.8,3.5,Rhode Island
201608,73.9,5.2,Rhode Island
201609,66.4,4.5,Rhode Island
201610,54.7,2.8,Rhode Island
201611,45.2,3.7,Rhode Island
201612,34.2,3.2,Rhode Island
201701,34.2,7,Rhode Island
201702,35.2,7.4,Rhode Island
201703,34.1,-2,Rhode Island
201704,51.5,5.8,Rhode Island
201705,56.5,0.4,Rhode Island
201706,66.8,2.1,Rhode Island
201707,71.1,0.8,Rhode Island
201708,69.8,1.1,Rhode Island
201709,66.4,4.5,Rhode Island
201710,59.6,7.7,Rhode Island
201711,43.1,1.6,Rhode Island
201712,30.1,-0.9,Rhode Island
201801,27.6,0.4,Rhode Island
201802,37.7,9.9,Rhode Island
201803,37.3,1.2,Rhode Island
201804,44.4,-1.3,Rhode Island
201805,61.4,5.3,Rhode Island
201806,65.9,1.2,Rhode Island
201807,73.8,3.5,Rhode Island
201808,75.1,6.4,Rhode Island
201809,66.5,4.6,Rhode Island
201810,52.7,0.8,Rhode Island
201811,41,-0.5,Rhode Island
201812,35.3,4.3,Rhode Island
201901,29,1.8,Rhode Island
201902,31.6,3.8,Rhode Island
201903,35.9,-0.2,Rhode Island
201904,49.2,3.5,Rhode Island
201905,56.4,0.3,Rhode Island
201906,66.5,1.8,Rhode Island
201907,74.8,4.5,Rhode Island
201908,71.3,2.6,Rhode Island
201909,63.9,2,Rhode Island
201910,54.7,2.8,Rhode Island
201911,40.1,-1.4,Rhode Island
201912,34.1,3.1,Rhode Island
202001,35.3,8.1,Rhode Island
202002,35.4,7.6,Rhode Island
202003,42.6,6.5,Rhode Island
202004,44.1,-1.6,Rhode Island
202005,56.6,0.5,Rhode Island
202006,68.1,3.4,Rhode Island
202007,75.4,5.1,Rhode Island
202008,73.8,5.1,Rhode Island
202009,64.5,2.6,Rhode Island
202010,54.6,2.7,Rhode Island
202011,47.5,6,Rhode Island
202012,35.7,4.7,Rhode Island
202101,31.5,4.3,Rhode Island
202102,30.9,3.1,Rhode Island
202103,40.3,4.2,Rhode Island
202104,48.9,3.2,Rhode Island
202105,58.2,2.1,Rhode Island
202106,69.8,5.1,Rhode Island
202107,71.3,1,Rhode Island
202108,73.7,5,Rhode Island
202109,66.6,4.7,Rhode Island
202110,58.5,6.6,Rhode Island
202111,43,1.5,Rhode Island
202112,38.7,7.7,Rhode Island
