Date,Value,Anomaly,State
201601,27.2,0.3,Ohio
201602,33.6,4.6,Ohio
201603,46.5,8,Ohio
201604,50.2,1,Ohio
201605,59.7,-0.3,Ohio
201606,71.2,2.3,Ohio
201607,74.8,1.8,Ohio
201608,76,5.1,Ohio
201609,69.2,4.7,Ohio
201610,57.7,4.9,Ohio
201611,45.8,5,Ohio
201612,31,0.6,Ohio
201701,34.6,7.7,Ohio
201702,40.5,11.5,Ohio
201703,40.4,1.9,Ohio
201704,56.6,7.4,Ohio
201705,60.1,0.1,Ohio
201706,69.6,0.7,Ohio
201707,73,0,Ohio
201708,69.7,-1.2,Ohio
201709,65.8,1.3,Ohio
201710,57.4,4.6,Ohio
201711,41.8,1,Ohio
201712,29.2,-1.2,Ohio
201801,25,-1.9,Ohio
201802,36.6,7.6,Ohio
201803,36.4,-2.1,Ohio
201804,45.1,-4.1,Ohio
201805,68,8,Ohio
201806,71.4,2.5,Ohio
201807,73.8,0.8,Ohio
201808,73.6,2.7,Ohio
201809,69.6,5.1,Ohio
201810,54.3,1.5,Ohio
201811,37.4,-3.4,Ohio
201812,35.1,4.7,Ohio
201901,27.4,0.5,Ohio
201902,33,4,Ohio
201903,36.8,-1.7,Ohio
201904,52.3,3.1,Ohio
201905,62.8,2.8,Ohio
201906,68.8,-0.1,Ohio
201907,75.9,2.9,Ohio
201908,71.8,0.9,Ohio
201909,69.8,5.3,Ohio
201910,56.5,3.7,Ohio
201911,37.4,-3.4,Ohio
201912,36.2,5.8,Ohio
202001,34.9,8,Ohio
202002,32.8,3.8,Ohio
202003,44.7,6.2,Ohio
202004,47.8,-1.4,Ohio
202005,58.4,-1.6,Ohio
202006,70.4,1.5,Ohio
202007,76.9,3.9,Ohio
202008,72.2,1.3,Ohio
202009,64.7,0.2,Ohio
202010,53.5,0.7,Ohio
202011,46.4,5.6,Ohio
202012,33.6,3.2,Ohio
202101,30.9,4,Ohio
202102,25.2,-3.8,Ohio
202103,44.7,6.2,Ohio
202104,51.4,2.2,Ohio
202105,58.8,-1.2,Ohio
202106,71.5,2.6,Ohio
202107,72.9,-0.1,Ohio
202108,74.6,3.7,Ohio
202109,66.9,2.4,Ohio
202110,60.3,7.5,Ohio
202111,40.5,-0.3,Ohio
202112,40.2,9.8,Ohio
