Date,Value,Anomaly,State
201601,30.9,1.5,Missouri
201602,39.1,5.3,Missouri
201603,50.4,6.8,Missouri
201604,57.3,2.8,Missouri
201605,62.7,-1.5,Missouri
201606,76.9,3.9,Missouri
201607,78.1,0.4,Missouri
201608,76.7,0.7,Missouri
201609,71.7,3.5,Missouri
201610,62.1,5.1,Missouri
201611,51,7.4,Missouri
201612,32.4,-0.6,Missouri
201701,35.4,6,Missouri
201702,45.1,11.3,Missouri
201703,48.4,4.8,Missouri
201704,58.5,4,Missouri
201705,64.1,-0.1,Missouri
201706,73.5,0.5,Missouri
201707,78.8,1.1,Missouri
201708,72.1,-3.9,Missouri
201709,70.4,2.2,Missouri
201710,59,2,Missouri
201711,46.2,2.6,Missouri
201712,34.3,1.3,Missouri
201801,28,-1.4,Missouri
201802,35.6,1.8,Missouri
201803,44,0.4,Missouri
201804,48.2,-6.3,Missouri
201805,72.5,8.3,Missouri
201806,77.4,4.4,Missouri
201807,78.2,0.5,Missouri
201808,76.4,0.4,Missouri
201809,71.3,3.1,Missouri
201810,56.4,-0.6,Missouri
201811,37.6,-6,Missouri
201812,36.8,3.8,Missouri
201901,31,1.6,Missouri
201902,33,-0.8,Missouri
201903,40.9,-2.7,Missouri
201904,56.7,2.2,Missouri
201905,64.5,0.3,Missouri
201906,72.4,-0.6,Missouri
201907,77.6,-0.1,Missouri
201908,75.3,-0.7,Missouri
201909,74.8,6.6,Missouri
201910,54.3,-2.7,Missouri
201911,40.2,-3.4,Missouri
201912,39,6,Missouri
202001,34.5,5.1,Missouri
202002,35.4,1.6,Missouri
202003,48.8,5.2,Missouri
202004,53.1,-1.4,Missouri
202005,62,-2.2,Missouri
202006,75.1,2.1,Missouri
202007,79.2,1.5,Missouri
202008,74.2,-1.8,Missouri
202009,67.3,-0.9,Missouri
202010,53.6,-3.4,Missouri
202011,49.6,6,Missouri
202012,36.3,3.3,Missouri
202101,33.7,4.3,Missouri
202102,24.4,-9.4,Missouri
202103,50,6.4,Missouri
202104,54.3,-0.2,Missouri
202105,62.3,-1.9,Missouri
202106,74.9,1.9,Missouri
202107,76.7,-1,Missouri
202108,77.4,1.4,Missouri
202109,71.4,3.2,Missouri
202110,60.6,3.6,Missouri
202111,45.5,1.9,Missouri
202112,44.8,11.8,Missouri
