Date,Value,Anomaly,State
201601,26.6,1.3,Utah
201602,33.7,3.4,Utah
201603,42.2,4.9,Utah
201604,47.9,2.4,Utah
201605,54.4,-0.3,Utah
201606,70.9,6.9,Utah
201607,73.7,2.2,Utah
201608,70.1,0.7,Utah
201609,61.1,0.5,Utah
201610,53.2,4.3,Utah
201611,41.6,5.6,Utah
201612,27.4,0.4,Utah
201701,25.9,0.6,Utah
201702,36.5,6.2,Utah
201703,45.3,8,Utah
201704,46,0.5,Utah
201705,55.6,0.9,Utah
201706,69.5,5.5,Utah
201707,75,3.5,Utah
201708,71.6,2.2,Utah
201709,60.7,0.1,Utah
201710,48.1,-0.8,Utah
201711,43,7,Utah
201712,31.4,4.4,Utah
201801,32.8,7.5,Utah
201802,32.2,1.9,Utah
201803,39.2,1.9,Utah
201804,49,3.5,Utah
201805,58.3,3.6,Utah
201806,69.1,5.1,Utah
201807,76.1,4.6,Utah
201808,72.4,3,Utah
201809,65.8,5.2,Utah
201810,47.5,-1.4,Utah
201811,35,-1,Utah
201812,27.4,0.4,Utah
201901,27,1.7,Utah
201902,27.2,-3.1,Utah
201903,38.2,0.9,Utah
201904,48.6,3.1,Utah
201905,50.5,-4.2,Utah
201906,63.6,-0.4,Utah
201907,73.3,1.8,Utah
201908,72.8,3.4,Utah
201909,63.1,2.5,Utah
201910,42.9,-6,Utah
201911,38.5,2.5,Utah
201912,28.8,1.8,Utah
202001,28.7,3.4,Utah
202002,31.1,0.8,Utah
202003,40.8,3.5,Utah
202004,47.4,1.9,Utah
202005,59,4.3,Utah
202006,65.4,1.4,Utah
202007,73.7,2.2,Utah
202008,75.8,6.4,Utah
202009,63.9,3.3,Utah
202010,52.8,3.9,Utah
202011,38.8,2.8,Utah
202012,27.2,0.2,Utah
202101,28,2.7,Utah
202102,32.2,1.9,Utah
202103,38.4,1.1,Utah
202104,47.4,1.9,Utah
202105,57.2,2.5,Utah
202106,71.9,7.9,Utah
202107,76.2,4.7,Utah
202108,70.9,1.5,Utah
202109,64.4,3.8,Utah
202110,47.9,-1,Utah
202111,42.5,6.5,Utah
202112,31.1,4.1,Utah
