Date,Value,Anomaly,State
201601,22.3,4.2,Michigan
201602,25.3,6.2,Michigan
201603,36.1,7.1,Michigan
201604,40.8,-1.1,Michigan
201605,55.4,1.8,Michigan
201606,64.7,1.4,Michigan
201607,70.3,2.2,Michigan
201608,70.8,4.9,Michigan
201609,63.5,5,Michigan
201610,51.6,4.1,Michigan
201611,42.6,8,Michigan
201612,25,1.7,Michigan
201701,25.2,7.1,Michigan
201702,29.9,10.8,Michigan
201703,30.7,1.7,Michigan
201704,47.2,5.3,Michigan
201705,53,-0.6,Michigan
201706,65.3,2,Michigan
201707,68.5,0.4,Michigan
201708,65.2,-0.7,Michigan
201709,62.6,4.1,Michigan
201710,52.5,5,Michigan
201711,34.5,-0.1,Michigan
201712,20.9,-2.4,Michigan
201801,20,1.9,Michigan
201802,23,3.9,Michigan
201803,29.6,0.6,Michigan
201804,35.2,-6.7,Michigan
201805,60.2,6.6,Michigan
201806,65.2,1.9,Michigan
201807,70.5,2.4,Michigan
201808,69.8,3.9,Michigan
201809,62.4,3.9,Michigan
201810,45.9,-1.6,Michigan
201811,30.8,-3.8,Michigan
201812,28.7,5.4,Michigan
201901,16.8,-1.3,Michigan
201902,19.9,0.8,Michigan
201903,27.5,-1.5,Michigan
201904,42.5,0.6,Michigan
201905,51.8,-1.8,Michigan
201906,62.5,-0.8,Michigan
201907,70.9,2.8,Michigan
201908,66.3,0.4,Michigan
201909,62.3,3.8,Michigan
201910,47.5,0,Michigan
201911,30.8,-3.8,Michigan
201912,28.4,5.1,Michigan
202001,27,8.9,Michigan
202002,23.7,4.6,Michigan
202003,35,6,Michigan
202004,40.2,-1.7,Michigan
202005,53.2,-0.4,Michigan
202006,66,2.7,Michigan
202007,72.5,4.4,Michigan
202008,68.6,2.7,Michigan
202009,58.2,-0.3,Michigan
202010,44.4,-3.1,Michigan
202011,41.1,6.5,Michigan
202012,28.6,5.3,Michigan
202101,24.9,6.8,Michigan
202102,17.3,-1.8,Michigan
202103,36.8,7.8,Michigan
202104,45.1,3.2,Michigan
202105,54.1,0.5,Michigan
202106,67.8,4.5,Michigan
202107,68.7,0.6,Michigan
202108,71,5.1,Michigan
202109,61.4,2.9,Michigan
202110,55.2,7.7,Michigan
202111,36.3,1.7,Michigan
202112,30.1,6.8,Michigan
