Date,Value,Anomaly,State
201601,20.1,6.9,Maine
201602,21.9,7,Maine
201603,29.2,3.3,Maine
201604,37.3,-1,Maine
201605,52.8,2.3,Maine
201606,60.5,0.7,Maine
201607,67,1.7,Maine
201608,66.6,3.6,Maine
201609,59.1,4.2,Maine
201610,46.9,2.6,Maine
201611,37.2,4.9,Maine
201612,20.5,1.8,Maine
201701,21.5,8.3,Maine
201702,20.6,5.7,Maine
201703,22.2,-3.7,Maine
201704,42,3.7,Maine
201705,50.7,0.2,Maine
201706,61,1.2,Maine
201707,65.2,-0.1,Maine
201708,63.3,0.3,Maine
201709,61.1,6.2,Maine
201710,52,7.7,Maine
201711,32.4,0.1,Maine
201712,16.4,-2.3,Maine
201801,15,1.8,Maine
201802,22.7,7.8,Maine
201803,28.9,3,Maine
201804,36.5,-1.8,Maine
201805,53.5,3,Maine
201806,59,-0.8,Maine
201807,68.8,3.5,Maine
201808,68,5,Maine
201809,57.9,3,Maine
201810,41.9,-2.4,Maine
201811,28.6,-3.7,Maine
201812,20.4,1.7,Maine
201901,14.1,0.9,Maine
201902,16.3,1.4,Maine
201903,24.7,-1.2,Maine
201904,38.8,0.5,Maine
201905,48.1,-2.4,Maine
201906,59.5,-0.3,Maine
201907,68.3,3,Maine
201908,64.5,1.5,Maine
201909,55.3,0.4,Maine
201910,46.1,1.8,Maine
201911,29.6,-2.7,Maine
201912,22.8,4.1,Maine
202001,20.8,7.6,Maine
202002,20.1,5.2,Maine
202003,29.6,3.7,Maine
202004,37.7,-0.6,Maine
202005,51.2,0.7,Maine
202006,62.5,2.7,Maine
202007,68.9,3.6,Maine
202008,65.6,2.6,Maine
202009,56.8,1.9,Maine
202010,44.7,0.4,Maine
202011,37,4.7,Maine
202012,27.2,8.5,Maine
202101,21.5,8.3,Maine
202102,18.5,3.6,Maine
202103,29.4,3.5,Maine
202104,43.2,4.9,Maine
202105,52.3,1.8,Maine
202106,64.8,5,Maine
202107,63.6,-1.7,Maine
202108,68.3,5.3,Maine
202109,59,4.1,Maine
202110,50.2,5.9,Maine
202111,35.4,3.1,Maine
202112,24.4,5.7,Maine
