Date,Value,Anomaly,State
201601,32,3.4,Kansas
201602,40.8,7.2,Kansas
201603,49.7,7.3,Kansas
201604,56.3,2.8,Kansas
201605,61.6,-1.8,Kansas
201606,77.5,4.1,Kansas
201607,79.7,0.8,Kansas
201608,76.4,-0.9,Kansas
201609,70.8,2.2,Kansas
201610,61.5,5,Kansas
201611,49.9,7.9,Kansas
201612,29.8,-1.7,Kansas
201701,33,4.4,Kansas
201702,43.1,9.5,Kansas
201703,48.9,6.5,Kansas
201704,55.6,2.1,Kansas
201705,62.2,-1.2,Kansas
201706,75.1,1.7,Kansas
201707,80.1,1.2,Kansas
201708,73.1,-4.2,Kansas
201709,70.5,1.9,Kansas
201710,57.6,1.1,Kansas
201711,45.2,3.2,Kansas
201712,33.6,2.1,Kansas
201801,29.9,1.3,Kansas
201802,31.9,-1.7,Kansas
201803,45.9,3.5,Kansas
201804,47.6,-5.9,Kansas
201805,71.1,7.7,Kansas
201806,78.2,4.8,Kansas
201807,78.7,-0.2,Kansas
201808,75.7,-1.6,Kansas
201809,70.1,1.5,Kansas
201810,53.6,-2.9,Kansas
201811,38.2,-3.8,Kansas
201812,34.3,2.8,Kansas
201901,31.3,2.7,Kansas
201902,27.9,-5.7,Kansas
201903,39.4,-3,Kansas
201904,55.4,1.9,Kansas
201905,60.5,-2.9,Kansas
201906,72.4,-1,Kansas
201907,78.6,-0.3,Kansas
201908,77.1,-0.2,Kansas
201909,75.2,6.6,Kansas
201910,51.1,-5.4,Kansas
201911,40.2,-1.8,Kansas
201912,36.7,5.2,Kansas
202001,34,5.4,Kansas
202002,34.9,1.3,Kansas
202003,47.9,5.5,Kansas
202004,52.7,-0.8,Kansas
202005,61.7,-1.7,Kansas
202006,77.7,4.3,Kansas
202007,79.2,0.3,Kansas
202008,76.4,-0.9,Kansas
202009,66.3,-2.3,Kansas
202010,52.6,-3.9,Kansas
202011,48.1,6.1,Kansas
202012,35.9,4.4,Kansas
202101,34,5.4,Kansas
202102,24.1,-9.5,Kansas
202103,48.1,5.7,Kansas
202104,52.4,-1.1,Kansas
202105,61.9,-1.5,Kansas
202106,75.8,2.4,Kansas
202107,77.7,-1.2,Kansas
202108,79.1,1.8,Kansas
202109,73.3,4.7,Kansas
202110,59.1,2.6,Kansas
202111,46.7,4.7,Kansas
202112,41.1,9.6,Kansas
