MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211005,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-10-05,2021-10-11,2
20210928,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-28,2021-10-04,2
20210921,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-21,2021-09-27,2
20210914,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-14,2021-09-20,2
20210907,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-07,2021-09-13,2
20210831,AK,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-31,2021-09-06,2
20210824,AK,87.24,12.76,0.00,0.00,0.00,0.00,2021-08-24,2021-08-30,2
20210817,AK,80.18,14.96,4.85,0.00,0.00,0.00,2021-08-17,2021-08-23,2
20210810,AK,80.18,14.96,4.85,0.00,0.00,0.00,2021-08-10,2021-08-16,2
20210803,AK,76.54,15.94,7.53,0.00,0.00,0.00,2021-08-03,2021-08-09,2
20210727,AK,72.01,22.18,5.80,0.00,0.00,0.00,2021-07-27,2021-08-02,2
20210720,AK,70.77,21.20,8.03,0.00,0.00,0.00,2021-07-20,2021-07-26,2
20210713,AK,74.35,25.65,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,2
20210706,AK,74.35,25.65,0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,2
20210629,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,2
20210622,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,2
20210615,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,2
20210608,AK,85.92,14.08,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,2
20210601,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,2
20210525,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,2
20210518,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,2
20210511,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,2
20210504,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,2
20210427,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,2
20210420,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,2
20210413,AK,79.30,20.70,0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,2
20210406,AK,70.89,29.11,0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,2
20210330,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,2
20210323,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,2
20210316,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,2
20210309,AK,65.33,34.67,0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,2
20210302,AK,78.80,21.20,0.00,0.00,0.00,0.00,2021-03-02,2021-03-08,2
20210223,AK,81.48,18.52,0.00,0.00,0.00,0.00,2021-02-23,2021-03-01,2
20210216,AK,81.48,18.52,0.00,0.00,0.00,0.00,2021-02-16,2021-02-22,2
20210209,AK,81.48,18.52,0.00,0.00,0.00,0.00,2021-02-09,2021-02-15,2
20210202,AK,80.60,19.40,0.00,0.00,0.00,0.00,2021-02-02,2021-02-08,2
20210126,AK,84.03,15.97,0.00,0.00,0.00,0.00,2021-01-26,2021-02-01,2
20210119,AK,84.03,15.97,0.00,0.00,0.00,0.00,2021-01-19,2021-01-25,2
20210112,AK,84.03,15.97,0.00,0.00,0.00,0.00,2021-01-12,2021-01-18,2
20210105,AK,91.44,8.56,0.00,0.00,0.00,0.00,2021-01-05,2021-01-11,2
20201229,AK,91.44,8.56,0.00,0.00,0.00,0.00,2020-12-29,2021-01-04,2
20201222,AK,91.44,8.56,0.00,0.00,0.00,0.00,2020-12-22,2020-12-28,2
20201215,AK,88.88,11.12,0.00,0.00,0.00,0.00,2020-12-15,2020-12-21,2
20201208,AK,88.88,11.12,0.00,0.00,0.00,0.00,2020-12-08,2020-12-14,2
20201201,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-12-01,2020-12-07,2
20201124,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-11-24,2020-11-30,2
20201117,AK,88.89,11.11,0.00,0.00,0.00,0.00,2020-11-17,2020-11-23,2
20201110,AK,88.89,10.26,0.85,0.00,0.00,0.00,2020-11-10,2020-11-16,2
20201103,AK,88.89,10.26,0.85,0.00,0.00,0.00,2020-11-03,2020-11-09,2
20201027,AK,87.81,11.34,0.85,0.00,0.00,0.00,2020-10-27,2020-11-02,2
20201020,AK,85.51,13.64,0.85,0.00,0.00,0.00,2020-10-20,2020-10-26,2
20201013,AK,85.51,13.64,0.85,0.00,0.00,0.00,2020-10-13,2020-10-19,2
20201006,AK,85.51,13.64,0.85,0.00,0.00,0.00,2020-10-06,2020-10-12,2
20200929,AK,77.85,21.36,0.79,0.00,0.00,0.00,2020-09-29,2020-10-05,2
20200922,AK,70.24,28.14,1.61,0.00,0.00,0.00,2020-09-22,2020-09-28,2
20200915,AK,70.24,28.14,1.61,0.00,0.00,0.00,2020-09-15,2020-09-21,2
20200908,AK,68.37,30.01,1.61,0.00,0.00,0.00,2020-09-08,2020-09-14,2
20200901,AK,65.46,32.93,1.61,0.00,0.00,0.00,2020-09-01,2020-09-07,2
20200825,AK,89.31,9.87,0.82,0.00,0.00,0.00,2020-08-25,2020-08-31,2
20200818,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-18,2020-08-24,2
20200811,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-11,2020-08-17,2
20200804,AK,92.28,7.72,0.00,0.00,0.00,0.00,2020-08-04,2020-08-10,2
20200728,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-28,2020-08-03,2
20200721,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-21,2020-07-27,2
20200714,AK,94.76,5.24,0.00,0.00,0.00,0.00,2020-07-14,2020-07-20,2
20200707,AK,94.42,5.58,0.00,0.00,0.00,0.00,2020-07-07,2020-07-13,2
20200630,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-30,2020-07-06,2
20200623,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-23,2020-06-29,2
20200616,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-16,2020-06-22,2
20200609,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-09,2020-06-15,2
20200602,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,2
20200526,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,2
20200519,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,2
20200512,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,2
20200505,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,2
20200428,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,2
20200421,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,2
20200414,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,2
20200407,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,2
20200331,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,2
20200324,AK,100.00,0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,2
