Date,Value,Anomaly,State
201601,22.9,5.8,New Hampshire
201602,25.6,7.1,New Hampshire
201603,35.2,6.4,New Hampshire
201604,40.2,-0.5,New Hampshire
201605,54.8,2.2,New Hampshire
201606,62.6,1.1,New Hampshire
201607,68.5,2,New Hampshire
201608,68.2,4.1,New Hampshire
201609,60.5,4,New Hampshire
201610,48,2.2,New Hampshire
201611,37.9,3.8,New Hampshire
201612,24.4,2.7,New Hampshire
201701,25.7,8.6,New Hampshire
201702,26.7,8.2,New Hampshire
201703,25.3,-3.5,New Hampshire
201704,45.8,5.1,New Hampshire
201705,52.2,-0.4,New Hampshire
201706,62.6,1.1,New Hampshire
201707,66.5,0,New Hampshire
201708,64.1,0,New Hampshire
201709,62.2,5.7,New Hampshire
201710,53.9,8.1,New Hampshire
201711,34.6,0.5,New Hampshire
201712,19.6,-2.1,New Hampshire
201801,18.3,1.2,New Hampshire
201802,27,8.5,New Hampshire
201803,30.3,1.5,New Hampshire
201804,38,-2.7,New Hampshire
201805,57.3,4.7,New Hampshire
201806,61.4,-0.1,New Hampshire
201807,69.9,3.4,New Hampshire
201808,69.2,5.1,New Hampshire
201809,61.1,4.6,New Hampshire
201810,45,-0.8,New Hampshire
201811,31.2,-2.9,New Hampshire
201812,24.7,3,New Hampshire
201901,18,0.9,New Hampshire
201902,21,2.5,New Hampshire
201903,27.4,-1.4,New Hampshire
201904,42.4,1.7,New Hampshire
201905,51.3,-1.3,New Hampshire
201906,61.6,0.1,New Hampshire
201907,70,3.5,New Hampshire
201908,65.7,1.6,New Hampshire
201909,57.5,1,New Hampshire
201910,47.9,2.1,New Hampshire
201911,31.5,-2.6,New Hampshire
201912,24.7,3,New Hampshire
202001,25.2,8.1,New Hampshire
202002,24.2,5.7,New Hampshire
202003,34.2,5.4,New Hampshire
202004,39.6,-1.1,New Hampshire
202005,53.4,0.8,New Hampshire
202006,64,2.5,New Hampshire
202007,71.1,4.6,New Hampshire
202008,66.5,2.4,New Hampshire
202009,58.5,2,New Hampshire
202010,47,1.2,New Hampshire
202011,38.5,4.4,New Hampshire
202012,28,6.3,New Hampshire
202101,23,5.9,New Hampshire
202102,20.5,2,New Hampshire
202103,32.4,3.6,New Hampshire
202104,44,3.3,New Hampshire
202105,54.5,1.9,New Hampshire
202106,66.1,4.6,New Hampshire
202107,65.5,-1,New Hampshire
202108,69.2,5.1,New Hampshire
202109,60.4,3.9,New Hampshire
202110,52,6.2,New Hampshire
202111,36,1.9,New Hampshire
202112,29,7.3,New Hampshire
