Date,Value,Anomaly,State
201601,31.6,-2,Kentucky
201602,38.9,2.4,Kentucky
201603,51.8,6.4,Kentucky
201604,57.3,2.1,Kentucky
201605,62.9,-1.5,Kentucky
201606,74.9,2.3,Kentucky
201607,77.9,1.6,Kentucky
201608,78,3.2,Kentucky
201609,72.2,3.6,Kentucky
201610,62.7,5.7,Kentucky
201611,49.9,4.6,Kentucky
201612,37,0.8,Kentucky
201701,40.9,7.3,Kentucky
201702,46.2,9.7,Kentucky
201703,47.9,2.5,Kentucky
201704,61.5,6.3,Kentucky
201705,65,0.6,Kentucky
201706,71.7,-0.9,Kentucky
201707,76.9,0.6,Kentucky
201708,73.1,-1.7,Kentucky
201709,68.3,-0.3,Kentucky
201710,59.4,2.4,Kentucky
201711,47.1,1.8,Kentucky
201712,35.8,-0.4,Kentucky
201801,30,-3.6,Kentucky
201802,44.6,8.1,Kentucky
201803,44.1,-1.3,Kentucky
201804,50.7,-4.5,Kentucky
201805,71.8,7.4,Kentucky
201806,75.5,2.9,Kentucky
201807,76.6,0.3,Kentucky
201808,75.8,1,Kentucky
201809,73.1,4.5,Kentucky
201810,58.9,1.9,Kentucky
201811,41.9,-3.4,Kentucky
201812,40.5,4.3,Kentucky
201901,35.1,1.5,Kentucky
201902,42.3,5.8,Kentucky
201903,43.1,-2.3,Kentucky
201904,57.8,2.6,Kentucky
201905,68.4,4,Kentucky
201906,71.9,-0.7,Kentucky
201907,77.4,1.1,Kentucky
201908,75.6,0.8,Kentucky
201909,74.8,6.2,Kentucky
201910,60,3,Kentucky
201911,41.2,-4.1,Kentucky
201912,42.1,5.9,Kentucky
202001,40.2,6.6,Kentucky
202002,39.7,3.2,Kentucky
202003,51.4,6,Kentucky
202004,52.8,-2.4,Kentucky
202005,62.2,-2.2,Kentucky
202006,72.6,0,Kentucky
202007,78.7,2.4,Kentucky
202008,74.8,0,Kentucky
202009,68.3,-0.3,Kentucky
202010,57.8,0.8,Kentucky
202011,49.9,4.6,Kentucky
202012,37.3,1.1,Kentucky
202101,35.7,2.1,Kentucky
202102,32.3,-4.2,Kentucky
202103,50.5,5.1,Kentucky
202104,54.5,-0.7,Kentucky
202105,62.4,-2,Kentucky
202106,73.4,0.8,Kentucky
202107,75.9,-0.4,Kentucky
202108,76.6,1.8,Kentucky
202109,68.9,0.3,Kentucky
202110,62.5,5.5,Kentucky
202111,43.4,-1.9,Kentucky
202112,47.6,11.4,Kentucky
