Date,Value,Anomaly,State
201601,34.3,1,Delaware
201602,38.5,4.1,Delaware
201603,49.7,7,Delaware
201604,53.1,1.1,Delaware
201605,61.7,-0.4,Delaware
201606,72.4,1.7,Delaware
201607,79.6,4.1,Delaware
201608,78.6,4.9,Delaware
201609,72,4.6,Delaware
201610,60.3,3.9,Delaware
201611,49,3.3,Delaware
201612,39.2,3,Delaware
201701,39.1,5.8,Delaware
201702,44.4,10,Delaware
201703,43.8,1.1,Delaware
201704,59.6,7.6,Delaware
201705,62.8,0.7,Delaware
201706,73.6,2.9,Delaware
201707,78.4,2.9,Delaware
201708,74,0.3,Delaware
201709,69.8,2.4,Delaware
201710,62.4,6,Delaware
201711,47.5,1.8,Delaware
201712,36.1,-0.1,Delaware
201801,32.8,-0.5,Delaware
201802,43.2,8.8,Delaware
201803,40.5,-2.2,Delaware
201804,51.6,-0.4,Delaware
201805,68.3,6.2,Delaware
201806,72.6,1.9,Delaware
201807,77.2,1.7,Delaware
201808,78.6,4.9,Delaware
201809,73.6,6.2,Delaware
201810,60.2,3.8,Delaware
201811,45.7,0,Delaware
201812,41.4,5.2,Delaware
201901,35.3,2,Delaware
201902,38.7,4.3,Delaware
201903,43.2,0.5,Delaware
201904,58.7,6.7,Delaware
201905,66.9,4.8,Delaware
201906,73.8,3.1,Delaware
201907,79.8,4.3,Delaware
201908,76.4,2.7,Delaware
201909,71.6,4.2,Delaware
201910,61.5,5.1,Delaware
201911,43.6,-2.1,Delaware
201912,40,3.8,Delaware
202001,40.2,6.9,Delaware
202002,41.9,7.5,Delaware
202003,49.5,6.8,Delaware
202004,51.8,-0.2,Delaware
202005,60.6,-1.5,Delaware
202006,73.7,3,Delaware
202007,80.7,5.2,Delaware
202008,77.2,3.5,Delaware
202009,68.7,1.3,Delaware
202010,60,3.6,Delaware
202011,51.8,6.1,Delaware
202012,39.7,3.5,Delaware
202101,36.1,2.8,Delaware
202102,35.4,1,Delaware
202103,47.4,4.7,Delaware
202104,55.3,3.3,Delaware
202105,63.4,1.3,Delaware
202106,73.7,3,Delaware
202107,77.6,2.1,Delaware
202108,77,3.3,Delaware
202109,69.9,2.5,Delaware
202110,63,6.6,Delaware
202111,45.1,-0.6,Delaware
202112,43.9,7.7,Delaware
