Date,Value,Anomaly,State
201601,56.9,-0.9,Florida
201602,59.4,0,Florida
201603,68.8,4.8,Florida
201604,71.2,1.9,Florida
201605,76.2,1.1,Florida
201606,81.9,2.4,Florida
201607,84,3,Florida
201608,83,1.9,Florida
201609,81.1,2,Florida
201610,74.6,2.3,Florida
201611,66.6,2.3,Florida
201612,65.9,7.1,Florida
201701,62.8,5,Florida
201702,65.5,6.1,Florida
201703,66.2,2.2,Florida
201704,72.3,3,Florida
201705,77.1,2,Florida
201706,80.2,0.7,Florida
201707,82.8,1.8,Florida
201708,82.8,1.7,Florida
201709,80.4,1.3,Florida
201710,74.9,2.6,Florida
201711,67.4,3.1,Florida
201712,61.7,2.9,Florida
201801,55,-2.8,Florida
201802,69.2,9.8,Florida
201803,63,-1,Florida
201804,70.2,0.9,Florida
201805,76.4,1.3,Florida
201806,81.5,2,Florida
201807,82.4,1.4,Florida
201808,82.2,1.1,Florida
201809,82.4,3.3,Florida
201810,76.5,4.2,Florida
201811,66.7,2.4,Florida
201812,61.8,3,Florida
201901,58.4,0.6,Florida
201902,67.5,8.1,Florida
201903,65.7,1.7,Florida
201904,71.2,1.9,Florida
201905,78.8,3.7,Florida
201906,82.3,2.8,Florida
201907,82.8,1.8,Florida
201908,82.9,1.8,Florida
201909,81.9,2.8,Florida
201910,77.9,5.6,Florida
201911,64.9,0.6,Florida
201912,63.9,5.1,Florida
202001,61.8,4,Florida
202002,63.6,4.2,Florida
202003,71,7,Florida
202004,73.1,3.8,Florida
202005,75.8,0.7,Florida
202006,81,1.5,Florida
202007,83,2,Florida
202008,83.2,2.1,Florida
202009,80.6,1.5,Florida
202010,77.2,4.9,Florida
202011,70.8,6.5,Florida
202012,57.6,-1.2,Florida
202101,58.7,0.9,Florida
202102,63.7,4.3,Florida
202103,67.7,3.7,Florida
202104,69.8,0.5,Florida
202105,76.2,1.1,Florida
202106,80.7,1.2,Florida
202107,81.9,0.9,Florida
202108,82.6,1.5,Florida
202109,79.7,0.6,Florida
202110,75.4,3.1,Florida
202111,63.6,-0.7,Florida
202112,66.6,7.8,Florida
