Date,Value,Anomaly,State
201601,25.6,1.9,Colorado
201602,32.4,5,Colorado
201603,37.9,4.2,Colorado
201604,43.7,1.2,Colorado
201605,50.8,-1,Colorado
201606,66.4,5.2,Colorado
201607,69.2,2.1,Colorado
201608,64.5,-0.7,Colorado
201609,59.7,2.4,Colorado
201610,51.8,5.3,Colorado
201611,40.2,6.7,Colorado
201612,25.2,0,Colorado
201701,25.3,1.6,Colorado
201702,35.4,8,Colorado
201703,42.5,8.8,Colorado
201704,44.3,1.8,Colorado
201705,51.5,-0.3,Colorado
201706,64.8,3.6,Colorado
201707,69.4,2.3,Colorado
201708,64.7,-0.5,Colorado
201709,59.1,1.8,Colorado
201710,46.7,0.2,Colorado
201711,41.3,7.8,Colorado
201712,30.1,4.9,Colorado
201801,29.7,6,Colorado
201802,28.6,1.2,Colorado
201803,37.8,4.1,Colorado
201804,44,1.5,Colorado
201805,57.2,5.4,Colorado
201806,66.5,5.3,Colorado
201807,70,2.9,Colorado
201808,66.2,1,Colorado
201809,61.9,4.6,Colorado
201810,45,-1.5,Colorado
201811,32.5,-1,Colorado
201812,26.6,1.4,Colorado
201901,26,2.3,Colorado
201902,24.9,-2.5,Colorado
201903,33.8,0.1,Colorado
201904,45.5,3,Colorado
201905,47.9,-3.9,Colorado
201906,60.6,-0.6,Colorado
201907,69.1,2,Colorado
201908,68.3,3.1,Colorado
201909,62.9,5.6,Colorado
201910,40.9,-5.6,Colorado
201911,35.2,1.7,Colorado
201912,28.1,2.9,Colorado
202001,27.4,3.7,Colorado
202002,26.4,-1,Colorado
202003,38.8,5.1,Colorado
202004,43.4,0.9,Colorado
202005,55.6,3.8,Colorado
202006,65,3.8,Colorado
202007,69.3,2.2,Colorado
202008,70.1,4.9,Colorado
202009,58.8,1.5,Colorado
202010,47.1,0.6,Colorado
202011,38.5,5,Colorado
202012,26.7,1.5,Colorado
202101,26.6,2.9,Colorado
202102,24.6,-2.8,Colorado
202103,35.7,2,Colorado
202104,43,0.5,Colorado
202105,52.8,1,Colorado
202106,65.7,4.5,Colorado
202107,69.9,2.8,Colorado
202108,67.3,2.1,Colorado
202109,62.4,5.1,Colorado
202110,47.8,1.3,Colorado
202111,40.7,7.2,Colorado
202112,32.4,7.2,Colorado
