year,month,state,d0,d1,d2,d3,d4,DSCI_avg,DSCI_summed
59,2016,5,DC,20.0,0.0,0.0,0.0,0.0,20.0,100.0
60,2016,5,DE,5.568,0.0,0.0,0.0,0.0,5.568,27.84
61,2016,5,FL,3.882,0.0,0.0,0.0,0.0,3.882,19.41
62,2016,5,GA,16.178,23.345999999999997,0.8119999999999999,0.0,0.0,65.306,326.53
63,2016,5,HI,14.718,20.54,33.79,5.338,0.0,205.20999999999998,1026.05
64,2016,5,IA,2.232,0.0,0.0,0.0,0.0,2.232,11.16
65,2016,5,ID,7.656000000000001,0.0,0.0,0.0,0.0,7.656000000000001,38.28
66,2016,5,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2016,5,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2016,5,KS,3.028,0.0,0.0,0.0,0.0,3.028,15.14
69,2016,5,KY,10.848,0.064,0.0,0.0,0.0,10.976,54.88
70,2016,5,LA,6.024,0.0,0.0,0.0,0.0,6.024,30.12
71,2016,5,MA,37.379999999999995,0.0,0.0,0.0,0.0,37.379999999999995,186.89999999999998
72,2016,5,MD,26.022000000000002,1.4220000000000002,0.0,0.0,0.0,28.865999999999996,144.32999999999998
73,2016,5,ME,7.144,0.0,0.0,0.0,0.0,7.144,35.72
74,2016,5,MI,0.44400000000000006,0.0,0.0,0.0,0.0,0.44400000000000006,2.22
75,2016,5,MN,22.23,0.0,0.0,0.0,0.0,22.23,111.15
76,2016,5,MO,28.772,3.3,0.0,0.0,0.0,35.372,176.85999999999999
77,2016,5,MS,27.137999999999998,0.0,0.0,0.0,0.0,27.137999999999998,135.69
78,2016,5,MT,14.012,7.808,0.0,0.0,0.0,29.627999999999997,148.14
79,2016,5,NC,17.276,11.654,0.0,0.0,0.0,40.584,202.92000000000002
80,2016,5,ND,20.536,0.0,0.0,0.0,0.0,20.536,102.68
81,2016,5,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2016,5,NH,37.818,0.0,0.0,0.0,0.0,37.818,189.08999999999997
83,2016,5,NJ,47.67,0.0,0.0,0.0,0.0,47.67,238.35
84,2016,5,NM,45.81400000000001,39.022000000000006,0.0,0.0,0.0,123.85799999999999,619.29
85,2016,5,NV,16.374000000000002,24.389999999999997,19.746000000000002,12.502,0.0,236.91,1184.55
86,2016,5,NY,40.513999999999996,0.0,0.0,0.0,0.0,40.513999999999996,202.57
87,2016,5,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2016,5,OK,4.61,0.968,0.0,0.0,0.0,6.546000000000001,32.730000000000004
89,2016,5,OR,46.272000000000006,24.564,0.6,0.0,0.0,97.2,486.0
90,2016,5,PA,59.279999999999994,3.7800000000000002,0.0,0.0,0.0,66.84,334.2
91,2016,5,PR,12.48,4.83,0.0,0.0,0.0,22.14,110.7
92,2016,5,RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2016,5,SC,25.627999999999997,8.82,0.0,0.0,0.0,43.267999999999994,216.33999999999997
94,2016,5,SD,9.294,0.318,0.0,0.0,0.0,9.930000000000001,49.650000000000006
95,2016,5,TN,28.965999999999998,33.384,0.392,0.0,0.0,96.91,484.54999999999995
96,2016,5,TX,5.078,0.38,0.0,0.0,0.0,5.838,29.19
97,2016,5,UT,58.874,4.9399999999999995,0.0,0.0,0.0,68.75399999999999,343.77
98,2016,5,VA,18.162,0.77,0.0,0.0,0.0,19.702,98.51
99,2016,5,VT,13.751999999999999,0.0,0.0,0.0,0.0,13.751999999999999,68.75999999999999
100,2016,5,WA,23.704,0.0,0.0,0.0,0.0,23.704,118.52000000000001
101,2016,5,WI,4.0920000000000005,0.0,0.0,0.0,0.0,4.0920000000000005,20.46
102,2016,5,WV,20.854000000000003,4.16,0.0,0.0,0.0,29.174,145.87
103,2016,5,WY,14.290000000000001,4.292,1.108,0.0,0.0,26.198,130.99
104,2016,6,AK,21.77,0.0,0.0,0.0,0.0,21.77,87.08
105,2016,6,AL,19.6325,27.002499999999998,12.204999999999998,0.175,0.0,111.8275,447.31
106,2016,6,AR,5.25,0.0,0.0,0.0,0.0,5.25,21.0
107,2016,6,AZ,40.17,51.43,7.99,0.0,0.0,167.0,668.0
108,2016,6,CA,15.262500000000001,24.650000000000002,16.1625,21.8075,21.04,309.31750000000005,1237.2700000000002
109,2016,6,CO,4.535,0.0,0.0,0.0,0.0,4.535,18.14
110,2016,6,CT,75.24,14.9325,0.0,0.0,0.0,105.10499999999999,420.41999999999996
111,2016,6,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2016,6,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2016,6,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2016,6,GA,11.33,17.7375,12.6975,0.49,0.0,89.3075,357.23
